internal_sku,platform_sku,description,category
INT-1A2CF9,76176,D35-12,Guitars>12 string>Acoustic
INT-86E297,76177,D28,Guitars>Flat top
INT-41119B,76178,360,Guitars>Semi-hollow body
INT-58829D,76179,000-18,Guitars>Flat top
INT-1AD879,76180,Telecaster,Guitars>Electric solid body
INT-BB999E,76182,Telecaster,Guitars>Electric solid body
INT-6DAB7B,76183,Stratocaster,Guitars>Electric solid body
INT-305664,76184,Stratocaster ex Billie Joe Armstrong Green Day,Guitars>Electric solid body
INT-68BD32,76185,Custon Shop Flying V custom,Guitars>Electric solid body
INT-17CF60,76186,Overdrive Special with Dumbleator II,Amps>Combo
INT-B5CC64,76190,Double Six,Guitars>12 string>Electric
INT-0643A5,76317,Custom Deluxe Metal Top,Guitars>Electric solid body
INT-5F4AF8,76318,Crest Brazilian Rosewood,Guitars>Semi-hollow body
INT-974E3B,76319,00-21,Guitars>Flat top
INT-E0A610,76320,J50 MUSEUM QUALITY,Guitars>Flat top
INT-78A65C,76323,JTM 100,Amps>Heads
INT-495DC1,76828,Custom Telecaster,Guitars>Electric solid body
INT-37E12C,76834,Custom Shop 20th Anniversary No Caster,Guitars>Electric solid body
INT-C66D9E,76837,ES335 with Bigsby,Guitars>Semi-hollow body
INT-8B760E,76838,Telecaster Stunning Flamed Neck,Guitars>Electric solid body
INT-527438,76840,Model H 000 ,Guitars>Flat top
INT-AF1022,76841,DE Dreadnought,Guitars>Flat top
INT-4CD50F,76842,A Style Mandolin,Stringed Instruments>Mandolin & mandolin family
INT-43AEA8,76844,True Historic 57 Reissue Les Paul Custom,Guitars>Electric solid body
INT-6C254A,77403,Les Paul Custom THE WORLDS FINEST,Guitars>Electric solid body
INT-992847,77404,000-28 EC Crossroads Edition,Guitars>Flat top
INT-EAC8F5,77405,JTM 45 MKII Head,Amps>Heads
INT-DEEDCD,77406,Collectors Choice Ed King Red Eye 1959 Les Paul Standard,Guitars>Electric solid body
INT-6CE2E5,77407,Bandmaster,Amps>Combo
INT-B31AA0,77409,RCJ 1851 OM Style,Guitars>Flat top
INT-C68D6E,77410,Custom 4x12 Cabinets ex Jack Bruce CREAM,Amps>Cabinets
INT-1CB4A2,77411,JMP 50 Head ex Jack Bruce CREAM,Amps>Heads
INT-23D3A6,77747,Stratocaster,Guitars>Electric solid body
